Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,17/08/2024 16:30,Luigi Ferraris,Genoa,Inter,2 - 2
2,1,17/08/2024 16:30,Ennio Tardini,Parma,Fiorentina,1 - 1
3,1,17/08/2024 18:45,Carlo Castellani,Empoli,Monza,0 - 0
4,1,17/08/2024 18:45,Giuseppe Meazza,Milan,Torino,2 - 2
5,1,18/08/2024 16:30,Renato Dall'Ara,Bologna,Udinese,1 - 1
6,1,18/08/2024 16:30,Marcantonio Bentegodi,Hellas Verona,Napoli,3 - 0
7,1,18/08/2024 18:45,Unipol Domus,Cagliari,Roma,0 - 0
8,1,18/08/2024 18:45,Olimpico,Lazio,Venezia,3 - 1
9,1,19/08/2024 16:30,Ettore Giardiniero - Via del mare,Lecce,Atalanta,0 - 4
10,1,19/08/2024 18:45,Juventus Stadium,Juventus,Como,3 - 0
11,2,24/08/2024 16:30,Ennio Tardini,Parma,Milan,2 - 1
12,2,24/08/2024 16:30,Friuli,Udinese,Lazio,2 - 1
13,2,24/08/2024 18:45,Giuseppe Meazza,Inter,Lecce,2 - 0
14,2,24/08/2024 18:45,Brianteo,Monza,Genoa,0 - 1
15,2,25/08/2024 16:30,Olimpico Grande Torino,Torino,Atalanta,2 - 1
16,2,25/08/2024 16:30,Artemio Franchi,Fiorentina,Venezia,0 - 0
17,2,25/08/2024 18:45,Diego Armando Maradona,Napoli,Bologna,3 - 0
18,2,25/08/2024 18:45,Olimpico,Roma,Empoli,1 - 2
19,2,26/08/2024 16:30,Unipol Domus,Cagliari,Como,1 - 1
20,2,26/08/2024 18:45,Marcantonio Bentegodi,Hellas Verona,Juventus,0 - 3
21,3,30/08/2024 16:30,Pier Luigi Penzo,Venezia,Torino,0 - 1
22,3,30/08/2024 18:45,Giuseppe Meazza,Inter,Atalanta,4 - 0
23,3,31/08/2024 16:30,Renato Dall'Ara,Bologna,Empoli,1 - 1
24,3,31/08/2024 16:30,Ettore Giardiniero - Via del mare,Lecce,Cagliari,1 - 0
25,3,31/08/2024 18:45,Olimpico,Lazio,Milan,2 - 2
26,3,31/08/2024 18:45,Diego Armando Maradona,Napoli,Parma,2 - 1
27,3,01/09/2024 16:30,Artemio Franchi,Fiorentina,Monza,2 - 2
28,3,01/09/2024 16:30,Luigi Ferraris,Genoa,Hellas Verona,0 - 2
29,3,01/09/2024 18:45,Juventus Stadium,Juventus,Roma,0 - 0
30,3,01/09/2024 18:45,Friuli,Udinese,Como,1 - 0
33,4,14/09/2024 13:00,Giuseppe Sinigaglia,Como,Bologna,2 - 2
34,4,14/09/2024 16:00,Carlo Castellani,Empoli,Juventus,0 - 0
37,4,14/09/2024 18:45,Giuseppe Meazza,Milan,Venezia,4 - 0
35,4,15/09/2024 10:30,Luigi Ferraris,Genoa,Roma,1 - 1
31,4,15/09/2024 13:00,Atleti Azzurri d'Italia,Atalanta,Fiorentina,3 - 2
40,4,15/09/2024 13:00,Olimpico Grande Torino,Torino,Lecce,0 - 0
32,4,15/09/2024 16:00,Unipol Domus,Cagliari,Napoli,0 - 4
38,4,15/09/2024 18:45,Brianteo,Monza,Inter,1 - 1
39,4,16/09/2024 16:30,Ennio Tardini,Parma,Udinese,2 - 3
